1,2016-0001,1,2016-01-01,4,Av Piedra Buena Y Av Fernandez De La Cruz,Avenida,Piedra Buena Av.,"Fernandez De La Cruz, F., Gral. Av.","Piedra Buena Av. Y Fernandez De La Cruz, F., Gral. Av.",comuna 8,Point (98896.78238426 93532.43437792),-58.47533969,-34.68757022,Moto-Auto,Auto
2,2016-0002,1,2016-01-02,1,Av Gral Paz  Y Av De Los Corrales,Gral Paz,"Paz, Gral. Av.",De Los Corrales Av.,"Paz, Gral. Av. Y De Los Corrales Av.",comuna 9,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,Auto-Pasajeros,Pasajeros
3,2016-0003,1,2016-01-03,7,Av Entre Rios 2034,Avenida,Entre Rios Av.,Sd,Entre Rios Av. 2034,comuna 1,Point (106684.29090040 99706.57687843),-58.39040293,-34.63189362,Moto-Auto,Auto
4,2016-0004,1,2016-01-10,0,Av Larrazabal Y Gral Villegas Conrado,Avenida,Larrazabal Av.,"Villegas, Conrado, Gral.","Larrazabal Av. Y Villegas, Conrado, Gral.",comuna 8,Point (99840.65224780 94269.16534422),-58.46503904,-34.68092974,Moto-Sd,Sd
5,2016-0005,1,2016-01-21,5,Av San Juan Y Presidente Luis Saenz Peña,Avenida,San Juan Av.,"Saenz Pe?A, Luis, Pres.","San Juan Av. Y Saenz Peã‘A, Luis, Pres.",comuna 1,Point (106980.32827929 100752.16915795),-58.38718297,-34.6224663,Moto-Pasajeros,Pasajeros
6,2016-0008,1,2016-01-24,18,Av 27 De Febrero Y Av Escalada,Avenida,27 De Febrero Av.,Escalada Av.,27 De Febrero Av. Y Escalada Av.,comuna 8,Point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,Moto-Objeto Fijo,Objeto Fijo
7,2016-0009,1,2016-01-24,19,Nogoya Y Joaquin V. Gonzales,Calle,Nogoya,"Gonzalez, Joaquin V.","Nogoya Y Gonzalez, Joaquin V.",comuna 11,Point (96545.87592078 102330.67262199),-58.50095869,-34.6082544,Moto-Auto,Auto
8,2016-0010,1,2016-01-29,15,Av General Paz Y Av De Los Corrales,Gral Paz,"Paz, Gral. Av.",De Los Corrales Av.,"Paz, Gral. Av. Y De Los Corrales Av.",comuna 9,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,Moto-Auto,Auto
9,2016-0012,1,2016-02-08,1,Av Belgrano Y Bernardo De Irigoyen,Avenida,Belgrano Av.,"Irigoyen, Bernardo De","Belgrano Av. E Irigoyen, Bernardo De",comuna 1,Point (107595.35084333 101797.50052813),-58.38048577,-34.61303893,Moto-Cargas,Cargas
10,2016-0013,1,2016-02-10,11,Av Entre Rios 1366,Avenida,Entre Rios Av.,Sd,Entre Rios Av. 1366,comuna 1,Point (106616.41069662 100496.44662323),-58.39114932,-34.62477387,Peaton-Auto,Auto
