1,2016-0001,Conductor,Moto,Masculino,19,2016-01-01
2,2016-0002,Conductor,Auto,Masculino,70,2016-01-02
3,2016-0003,Conductor,Moto,Masculino,30,2016-01-03
4,2016-0004,Conductor,Moto,Masculino,18,
5,2016-0005,Conductor,Moto,Masculino,29,2016-02-01
6,2016-0008,Conductor,Moto,Masculino,30,2016-01-24
7,2016-0009,Pasajero_Acompañante,Moto,Masculino,29,2016-01-26
8,2016-0010,Conductor,Moto,Masculino,18,2016-01-29
9,2016-0012,Conductor,Moto,Masculino,22,2016-02-08
10,2016-0013,Peaton,Peaton,Masculino,16,2016-02-10
11,2016-0015,Peaton,Peaton,Femenino,16,2016-02-14
12,2016-0016,Pasajero_Acompañante,Moto,Femenino,19,2016-02-14
13,2016-0017,Peaton,Peaton,Masculino,59,2016-02-16
14,2016-0019,Peaton,Peaton,Femenino,65,2016-02-17
15,2016-0020,Peaton,Peaton,Masculino,59,2016-03-02
16,2016-0021,Conductor,Auto,Masculino,34,2016-02-17
17,2016-0022,Pasajero_Acompañante,Moto,Masculino,41,
18,2016-0025,Pasajero_Acompañante,Auto,Masculino,34,2016-02-28
19,2016-0026,Conductor,Auto,Masculino,30,2016-03-04
20,2016-0027,Pasajero_Acompañante,Auto,Masculino,34,
21,2016-0028,Peaton,Peaton,Masculino,50,2016-03-02
22,2016-0029,Peaton,Peaton,Masculino,38,2016-03-04
23,2016-0031,Conductor,Moto,Masculino,21,
24,2016-0034,Peaton,Peaton,Masculino,52,2016-03-12
25,2016-0035,Conductor,Moto,Masculino,34,2016-03-13
26,2016-0036,Pasajero_Acompañante,Moto,Masculino,36,2016-03-14
27,2016-0037,Conductor,Moto,Masculino,20,2016-03-19
28,2016-0038,Peaton,Peaton,Masculino,29,2016-03-21
29,2016-0039,Conductor,Moto,Masculino,20,2016-03-23
30,2016-0041,Conductor,Moto,Masculino,54,2016-03-29
31,2016-0041,Pasajero_Acompañante,Moto,Masculino,,2016-03-30
32,2016-0043,Peaton,Peaton,Femenino,56,2016-03-30
33,2016-0044,Conductor,Moto,Masculino,24,2016-03-31
34,2016-0045,Conductor,Moto,Masculino,,
35,2016-0047,Peaton,Peaton,Masculino,41,2016-04-15
36,2016-0048,Peaton,Peaton,Femenino,,
37,2016-0049,Sd,Sd,Sd,,
38,2016-0050,Peaton,Peaton,Masculino,78,2016-04-19
39,2016-0051,Conductor,Moto,Masculino,36,2016-04-20
40,2016-0052,Sd,Moto,Sd,,
41,2016-0053,Peaton,Peaton,Masculino,38,2016-04-22
42,2016-0054,Conductor,Moto,Masculino,30,2016-04-25
43,2016-0055,Peaton,Peaton,Masculino,79,2016-04-28
44,2016-0056,Conductor,Moto,Masculino,26,2016-04-26
45,2016-0058,Peaton,Peaton,Femenino,57,2016-05-08
46,2016-0059,Peaton,Peaton,Masculino,37,2016-05-26
47,2016-0064,Peaton,Peaton,Masculino,20,
48,2016-0065,Peaton,Peaton,Masculino,20,2016-05-20
49,2016-0067,Pasajero_Acompañante,Moto,Femenino,30,
50,2016-0068,Conductor,Moto,Masculino,58,
51,2016-0069,Conductor,Auto,Masculino,30,2016-05-23
52,2016-0073,Conductor,Moto,Masculino,23,
53,2016-0074,Conductor,Auto,Masculino,60,
54,2016-0075,Peaton,Peaton,Masculino,42,2016-06-12
55,2016-0076,Peaton,Peaton,Femenino,53,2016-06-13
56,2016-0077,Peaton,Peaton,Femenino,,
57,2016-0078,Conductor,Moto,Masculino,30,
58,2016-0079,Conductor,Auto,Femenino,51,
59,2016-0080,Conductor,Auto,Masculino,60,
60,2016-0081,Conductor,Moto,Masculino,40,
61,2016-0082,Peaton,Peaton,Masculino,87,2016-07-05
62,2016-0083,Peaton,Peaton,Femenino,76,2016-06-29
63,2016-0084,Peaton,Peaton,Masculino,57,2016-07-08
64,2016-0085,Sd,Moto,Masculino,,
65,2016-0086,Peaton,Peaton,Masculino,75,2016-07-01
66,2016-0087,Conductor,Moto,Masculino,23,2016-07-03
67,2016-0088,Peaton,Peaton,Femenino,70,2016-07-14
68,2016-0089,Peaton,Peaton,Masculino,35,2016-07-14
69,2016-0090,Peaton,Peaton,Masculino,60,2016-07-15
70,2016-0092,Conductor,Moto,Masculino,24,2016-07-15
71,2016-0093,Conductor,Auto,Masculino,35,2016-07-19
72,2016-0095,Conductor,Moto,Masculino,29,2016-07-23
73,2016-0096,Conductor,Moto,Masculino,,
74,2016-0097,Peaton,Peaton,Masculino,80,2016-08-12
75,2016-0098,Conductor,Moto,Femenino,43,
76,2016-0099,Conductor,Cargas,Masculino,45,
77,2016-0100,Conductor,Moto,Masculino,57,2016-08-03
78,2016-0101,Sd,Sd,Masculino,67,
79,2016-0102,Conductor,Moto,Masculino,29,
80,2016-0104,Conductor,Moto,Masculino,21,2016-08-15
81,2016-0105,Peaton,Peaton,Masculino,19,2016-08-26
82,2016-0106,Peaton,Peaton,Masculino,38,
83,2016-0107,Conductor,Moto,Masculino,21,
84,2016-0109,Conductor,Auto,Femenino,53,2016-08-24
85,2016-0110,Peaton,Peaton,Masculino,57,
86,2016-0111,Conductor,Moto,Masculino,27,2016-08-25
87,2016-0112,Conductor,Moto,Masculino,24,2016-08-27
88,2016-0113,Peaton,Peaton,Femenino,60,
89,2016-0114,Ciclista,Bicicleta,Femenino,55,2016-08-31
90,2016-0115,Sd,Sd,Masculino,,
91,2016-0116,Conductor,Moto,Masculino,30,2016-09-02
92,2016-0117,Conductor,Auto,Masculino,43,
93,2016-0118,Conductor,Auto,Masculino,27,2016-09-04
94,2016-0119,Pasajero_Acompañante,Sd,Femenino,,
95,2016-0122,Ciclista,Bicicleta,Masculino,49,2016-09-13
96,2016-0123,Conductor,Moto,Femenino,58,
97,2016-0124,Peaton,Peaton,Masculino,67,
98,2016-0125,Conductor,Moto,Masculino,30,
99,2016-0126,Conductor,Auto,Masculino,37,
100,2016-0126,Pasajero_Acompañante,Auto,Masculino,60,
101,2016-0127,Peaton,Peaton,Masculino,50,
102,2016-0128,Peaton,Peaton,Femenino,81,2016-10-02
103,2016-0130,Conductor,Moto,Masculino,29,2016-10-04
104,2016-0131,Peaton,Peaton,Masculino,35,
105,2016-0132,Pasajero_Acompañante,Auto,Masculino,30,2016-10-10
106,2016-0133,Conductor,Moto,Masculino,41,2016-10-25
107,2016-0134,Conductor,Moto,Masculino,25,2016-10-23
108,2016-0135,Peaton,Peaton,Masculino,29,2016-10-25
109,2016-0136,Conductor,Moto,Sd,,
110,2016-0137,Conductor,Moto,Masculino,30,
111,2016-0138,Ciclista,Bicicleta,Femenino,33,
112,2016-0139,Pasajero_Acompañante,Moto,Femenino,35,
113,2016-0140,Pasajero_Acompañante,Pasajeros,Masculino,20,
114,2016-0142,Conductor,Moto,Masculino,46,2016-11-05
115,2016-0143,Conductor,Moto,Masculino,35,
116,2016-0144,Peaton,Peaton,Masculino,83,
117,2016-0145,Conductor,Moto,Masculino,39,2016-11-07
118,2016-0146,Peaton,Peaton,Femenino,29,
119,2016-0147,Pasajero_Acompañante,Movil,Masculino,55,2016-11-16
120,2016-0148,Conductor,Moto,Masculino,,
121,2016-0150,Pasajero_Acompañante,Cargas,Masculino,41,2016-11-18
122,2016-0151,Peaton,Peaton,Sd,,
123,2016-0152,Conductor,Moto,Masculino,42,2016-11-24
124,2016-0153,Peaton,Peaton,Femenino,83,2016-11-25
125,2016-0154,Conductor,Moto,Masculino,38,
126,2016-0155,Peaton,Peaton,Femenino,29,
127,2016-0156,Conductor,Moto,Masculino,23,2016-11-30
128,2016-0157,Conductor,Moto,Masculino,23,
129,2016-0159,Conductor,Auto,Masculino,23,
130,2016-0160,Conductor,Cargas,Masculino,29,2016-12-06
131,2016-0161,Peaton,Peaton,Masculino,50,2016-12-06
132,2016-0162,Peaton,Peaton,Masculino,38,2017-01-01
